catalogNumber,recordedBy,occurrenceID,state,studySiteID
997a517d-3668-47fc-b1fc-9b9dba5b8afb,Bulk Import,395d7ec6-cd43-4562-a16f-226da9a3f0b3,approved,d4810c2f-6b06-4dfd-9212-85ceba97a7d0
aaf34bd6-f704-42ed-80ac-d8f1ce724316,Bulk Import,6b41286c-3ba0-4b15-b355-2922d90cc644,approved,d4810c2f-6b06-4dfd-9212-85ceba97a7d0
d5144742-c063-45ee-9ab4-cda5957a33e7,Bulk Import,6265cde1-922f-43f8-a9f0-14a640942620,approved,76f1b1af-14cb-407c-9d3f-eebbb77b697c
1fc3bc44-287a-41e5-bd86-d9e1f7ac7c52,Bulk Import,94a87c30-bb50-4b17-8770-8d2cd1fc9eb2,approved,b2b0bdb3-835a-4348-aa4d-49cb8535dd64
9c2cb222-0a6c-44df-a380-d7c61a8c820b,Bulk Import,23685ec2-add9-43d9-b290-31d69140de36,approved,6a2d39b6-761e-4f62-976a-70ec89f70518
75b1369b-c37a-4899-a56b-40b6f15b60c1,Bulk Import,fa8b7858-a7be-4aa3-b665-3f4472c6fe68,approved,ef64dc21-1f38-41db-bc92-469624e71bbe
